location,mobility_before_distancing,mobility_after_distancing,general_reduction,median_reduction,median_seasonal_reduction,num_users,num_records
PR,47.98861426124096,24.50639456337469,48.93%,80.83%,75.99%,6493,995349
RI,45.84798817258819,18.967665942946674,58.63%,81.24%,78.69%,8844,1368115
SC,48.25225744218179,30.18568076352393,37.44%,59.81%,59.60%,37568,5749036
SD,67.72795914451284,43.93915507350047,35.12%,61.08%,62.63%,5344,636256
TN,57.71062405160095,33.876844961031516,41.30%,65.70%,66.01%,63355,9471782
TX,73.50326389833472,42.71051884487931,41.89%,64.71%,64.72%,354906,55867047
UT,68.75839724887206,34.640199151316786,49.62%,74.75%,78.59%,20817,2555169
VA,58.423730571951005,33.300582485473754,43.00%,71.90%,71.45%,73713,12126725
VI,131.28745397775188,73.78685160606803,43.80%,94.09%,94.06%,571,88023
VT,58.609836561237366,29.764174950673038,49.22%,79.74%,75.34%,3456,505514
WA,74.90186542419623,32.08119008432028,57.17%,84.56%,85.29%,59174,8587089
WI,56.29191171860196,29.789325423675475,47.08%,73.02%,73.79%,31212,4205959
WV,46.9126642612444,29.990125404576613,36.07%,58.70%,61.16%,12017,1417621
WY,72.5372752208148,51.81878433442422,28.56%,50.70%,58.13%,2753,360166
United States,65.57378767297304,36.77979316399335,43.91%,72.09%,72.12%,4085441,598244731
New York City,85.68190137495161,41.016144394441945,52.13%,86.24%,84.15%,170373,25837651
Los Angeles,102.6999698325317,56.42325963939656,45.06%,81.53%,80.80%,128652,20943734
Chicago,63.707948889370044,29.78805142402017,53.24%,84.89%,83.20%,62525,10268087
Houston,53.830637448074405,35.4744471560676,34.10%,69.95%,70.07%,74603,14637424
Phoenix,60.65411683939398,29.278099059983692,51.73%,78.29%,79.44%,23303,3803991
Philadelphia,55.063753562034435,32.84206776731724,40.36%,77.26%,77.37%,34241,6927432
San Antonio,45.19748186156794,27.741572570365328,38.62%,74.97%,73.92%,34083,5614947
San Diego,79.25107948459619,40.03030130900236,49.49%,85.71%,86.57%,31365,4214731
Dallas,64.50400770630421,36.47382597634879,43.45%,71.75%,70.27%,30082,5757589
San Jose,60.07603474902304,25.6417816747022,57.32%,87.25%,88.13%,13991,2019024
Austin,72.49651225432541,36.65397886810853,49.44%,80.63%,80.66%,29979,4461824
Jacksonville,47.82050175571353,35.04455480596475,26.72%,48.38%,52.77%,675,76693
Fort Worth,51.39276904523474,31.881900936957603,37.96%,66.70%,68.97%,14663,2274154
Columbus,44.700843347757605,24.68419450450403,44.78%,74.54%,74.35%,20552,3703525
San Francisco,113.01458523914101,41.98552816448992,62.85%,94.33%,93.78%,32848,4047277
Charlotte,58.026752981903066,31.61906832250501,45.51%,71.45%,71.24%,18465,3510412
Indianapolis,46.81267889157421,25.457123924407625,45.62%,75.82%,76.95%,16535,2704064
Seattle,98.92199123694961,32.41888393285352,67.23%,95.01%,94.13%,21326,3161613
Denver,81.7490766652041,38.11965327301928,53.37%,81.94%,81.33%,15234,2202562
Washington,80.52512481795274,35.933873963096254,55.38%,87.98%,87.64%,40414,6244690
Boston,75.14621606018332,33.17023162325897,55.86%,86.40%,83.37%,21874,2903273
El Paso,51.15040090770119,30.803690808409375,39.78%,82.41%,83.90%,9504,1477973
Detroit,54.25784802144501,42.69716359704329,21.31%,69.60%,63.99%,9896,1938167
Nashville,72.83289386019439,36.781927425846426,49.50%,74.93%,76.74%,19601,3210017
Portland,79.02342944655749,34.66000087851697,56.14%,89.32%,87.59%,16311,3101712
Memphis,49.159267476096446,31.975210753000027,34.96%,71.65%,69.11%,11077,2148918
Oklahoma City,46.181291132161455,26.74912576721149,42.08%,68.61%,69.80%,9033,1523420
Las Vegas,82.1719271665783,53.3908751645557,35.03%,70.56%,71.85%,16772,2520144
Louisville,46.621596758752496,24.750379914358412,46.91%,75.18%,74.95%,7149,1129410
Baltimore,45.48237764783315,23.094372960917806,49.22%,76.59%,77.85%,12801,2686170
Milwaukee,52.611395514235475,29.008192757189466,44.86%,77.55%,74.86%,7926,1357550
Albuquerque,50.55369125994712,23.05664385337057,54.39%,86.48%,85.35%,6559,959263
Tucson,53.64084888669422,27.268405876456583,49.16%,79.64%,77.55%,7698,1097909
Fresno,37.49716349209644,18.92542681725536,49.53%,71.73%,75.34%,7804,1210294
Mesa,48.71269982705368,30.592212791941233,37.20%,74.30%,75.05%,5254,781615
Sacramento,61.42199131791523,36.665081656038645,40.31%,76.49%,77.85%,9061,1421690
Atlanta,88.53908799065134,53.9681483447302,39.05%,63.92%,62.39%,31862,5642978
Kansas City,61.548892290553596,32.13662970848053,47.79%,76.17%,76.01%,9643,1444342
Colorado Springs,63.74189324692129,34.553747978230035,45.79%,85.10%,86.38%,4886,721668
Miami,113.24402129007221,74.85114861255045,33.90%,76.78%,77.02%,21623,1973393
Raleigh,51.94685009547066,25.186792798995985,51.51%,75.06%,72.52%,10753,1552316
Omaha,49.46043779620471,27.273167216384056,44.86%,80.05%,77.25%,8438,1045655
Long Beach,55.382354314584674,29.73007450363369,46.32%,73.44%,72.52%,10124,1743082
Virginia Beach,49.84210913297325,32.020224798747805,35.76%,78.64%,73.72%,6530,1087100
Oakland,86.64201861773445,30.79778519827949,64.45%,87.76%,89.19%,9757,1818870
Minneapolis,69.44743176993299,29.96309018367151,56.86%,85.15%,85.13%,11243,1673110
Tulsa,49.44685363031566,28.107784453915766,43.16%,74.49%,71.68%,4925,732621
Arlington,56.09185301931714,28.26705746155394,49.61%,79.85%,77.50%,13800,2142693
Tampa,71.25088388326402,35.51361386278768,50.16%,78.94%,77.23%,10035,1437037
New Orleans,55.681005329776156,32.88042539618835,40.95%,70.46%,70.06%,16980,3771146
Wichita,38.95971274446818,22.43975652730349,42.40%,70.35%,70.51%,5460,673623
Cleveland,54.055764160991174,32.71552171776553,39.48%,68.66%,67.49%,9413,1821869
Bakersfield,39.01563132203804,24.74346914348848,36.58%,64.57%,66.65%,5485,839589
Aurora,42.760462898342965,18.98932948020891,55.59%,80.45%,80.47%,690,58103
Anaheim,65.57045746327991,35.841106845257386,45.34%,69.93%,69.45%,8443,902650
Honolulu,139.79767602449266,69.66367975926086,50.17%,88.47%,85.93%,11528,1024530
Santa Ana,45.823107880627994,23.06846436620253,49.66%,69.53%,73.35%,2873,380304
Riverside,44.994091455539454,29.77138202942061,33.83%,69.06%,71.45%,5899,775773
Corpus Christi,48.8269820377864,35.489696588666355,27.32%,61.29%,67.90%,5103,678857
Lexington,42.09407521756066,21.726881315528736,48.38%,74.25%,66.09%,1196,143824
Stockton,41.608593436397136,26.848506447958197,35.47%,59.19%,61.65%,3434,559422
Henderson,72.75559547853159,36.956321066743605,49.20%,74.00%,73.16%,5186,970629
St Paul,55.00341141489714,22.542112811227216,59.02%,87.64%,84.24%,4281,643263
St Louis,54.62851456243083,26.33334909587533,51.80%,87.00%,84.34%,7013,1125919
Cincinnati,55.57485671332582,24.70227035491953,55.55%,76.65%,73.66%,6846,933502
Pittsburgh,54.055135684062776,30.117167888496372,44.28%,83.66%,80.51%,8878,1465919
Greensboro,36.598791144764405,24.48763125805132,33.09%,64.22%,62.92%,6969,1616502
Anchorage,109.877569900547,44.207000541110055,59.77%,96.12%,90.79%,3419,579829
Plano,71.49572855007042,45.650111849875934,36.15%,78.74%,76.69%,4210,713813
Lincoln,53.95710043401783,31.790342128640933,41.08%,71.48%,74.74%,5672,560423
Orlando,91.3743663780556,52.14748885256257,42.93%,68.23%,66.23%,13300,1746315
Irvine,78.95370524150113,36.510577567080546,53.76%,86.81%,86.11%,4425,589632
Newark,53.091952259297905,24.33290691572185,54.17%,70.93%,71.76%,6038,1026441
Toledo,39.337085609108094,27.47016635717045,30.17%,73.19%,73.52%,3731,605735
Durham,48.86588847186743,24.560578011764,49.74%,72.99%,71.60%,5648,1164153
Chula Vista,56.060414725192956,32.77860426305486,41.53%,80.28%,79.40%,2911,402280
Fort Wayne,42.44706763214076,28.21769035766605,33.52%,65.78%,66.14%,3321,407023
Jersey City,58.528720516863906,25.864789338581247,55.81%,86.64%,85.26%,4539,726603
St Petersburg,63.293796913980216,29.99390466942399,52.61%,81.20%,82.42%,3931,756687
Laredo,38.25947840634284,26.421328127048245,30.94%,69.29%,71.21%,2203,276057
Madison,44.492439272328994,24.0426506235265,45.96%,67.34%,74.64%,929,85247
Chandler,58.440094422617506,30.221812386547853,48.29%,77.06%,79.66%,3389,450539
Buffalo,43.76011956289129,28.17872754076621,35.61%,70.84%,76.39%,5063,902316
Lubbock,52.772412109935004,38.504345398486045,27.04%,54.51%,61.42%,5966,697816
Scottsdale,87.36019535156126,45.765160309819706,47.61%,81.97%,82.72%,4629,557683
Reno,58.23016113662296,30.262827462404214,48.03%,80.38%,79.03%,4796,646180
Glendale,53.47691655744346,15.703644026745474,70.63%,79.70%,80.59%,264,38405
Gilbert,64.0296311442746,35.30927589345093,44.85%,80.35%,79.03%,3836,430693
Winston-Salem,38.196629374395975,24.397138887064454,36.13%,64.94%,60.39%,3590,587420
North Las Vegas,46.96384904112275,31.469196849232627,32.99%,71.10%,75.27%,2868,466167
Norfolk,45.43181858998118,28.908717063918928,36.37%,66.43%,64.86%,5194,1191038
Chesapeake,42.29077352453531,25.53060173771081,39.63%,67.80%,66.61%,2211,442743
Garland,36.2163095661279,27.402800512855183,24.34%,62.19%,63.17%,3266,533323
Irving,55.62326023595479,32.337329332579124,41.86%,69.71%,69.13%,3956,634379
Hialeah,33.62611965704799,22.212513346064664,33.94%,74.38%,66.36%,1834,234763
Fremont,77.97463259684301,33.868358570080034,56.56%,86.87%,80.04%,2886,420039
Boise,65.68373303732785,29.86089261574204,54.54%,84.23%,75.27%,3141,441308
Richmond,53.46233222395687,32.29383977352725,39.60%,73.42%,73.81%,8636,1484611
Baton Rouge,42.32027814250822,28.558754737285643,32.52%,57.09%,57.80%,7323,2038142
Spokane,60.963859412705176,34.98797966842501,42.61%,69.08%,76.14%,2293,319469
